cosmological_parameters--h0	cosmological_parameters--omega_m	cosmological_parameters--omega_b	cosmological_parameters--mnu	cosmological_parameters--tau	cosmological_parameters--n_s	cosmological_parameters--a_s	cosmological_parameters--w	prior	like	post	weight
0.764677350567972	0.178705124895411	0.0678297038327511	0.17295950671485	0.0255482558705421	1.04618248845375	2.53418790112642e-09	-1.72116739949487	28.2110682087365	-277327.349947188	-277299.13887897925	0.0
0.699129675447423	0.453003653019898	0.0675023783663101	0.451130306888372	0.0144731926266204	0.953578020677806	4.91535160329544e-09	-1.02596024069282	28.2110682087365	-276455.253352148	-276427.04228393926	0.0
0.642621278385829	0.331489693178138	0.0427080989278917	0.591887209025053	0.0683727895998236	1.03179061736979	4.38545331419462e-09	-0.943002062510983	28.2110682087365	-268136.197351981	-268107.9862837723	0.0
0.827976745966607	0.389957283312556	0.06892248290675	0.26768835384459	0.0201690677727328	0.936701727230419	4.54282066697311e-09	-0.395666090293615	28.2110682087365	-265765.304117199	-265737.09304899024	0.0
0.554363645055872	0.341610665706933	0.0344828881775854	0.212694264062719	0.0755114774383116	1.00537234144972	4.0281869059774e-09	-0.625345807609498	28.2110682087365	-261116.281933169	-261088.07086496026	0.0
0.671119485872708	0.314556839891895	0.0456503023340308	0.375885795551854	0.0936281450331029	1.04220994715427	4.44093721414605e-09	-1.68798164195225	28.2110682087365	-252787.409035987	-252759.19796777825	0.0
0.84186843315335	0.49536174096551	0.0614860686151299	0.197456997467285	0.0589068597793132	0.980684137413576	4.8474341473161e-09	-0.192887805981047	28.2110682087365	-247971.944517924	-247943.73344971528	0.0
0.502359990206671	0.447851650767037	0.0557370486452696	0.326631309626198	0.0540587208671384	0.926393132329688	3.89581925338605e-09	-0.381865962183916	28.2110682087365	-243592.160995087	-243563.94992687827	0.0
0.709229635183062	0.146094244269405	0.0336896287311181	0.381779483605435	0.092448389143347	0.870620433178856	2.59028777314661e-09	-1.44854996143335	28.2110682087365	-243530.714112895	-243502.50304468625	0.0
0.595272721017625	0.452798830719653	0.0549384787017021	0.493601220083709	0.0736155062112736	1.01975884244841	4.4802826819536e-09	-1.88861230402617	28.2110682087365	-242934.79116861	-242906.58010040128	0.0
0.683077375607957	0.35988450325026	0.0433657032616302	0.152541020388109	0.0107629065915924	0.873332611060208	3.71680634885477e-09	-0.471395388533003	28.2110682087365	-240040.601011356	-240012.38994314725	0.0
0.889157919270981	0.401983069022517	0.069392357700156	0.343420438151722	0.0358142879078305	1.04512279076962	4.75443404438166e-09	-1.9388533464439	28.2110682087365	-237754.3637407	-237726.15267249127	0.0
0.785703769806209	0.304819559551892	0.0328452557494097	0.370232438387882	0.081967794446189	0.88897373103246	4.77524735226412e-09	-1.04426752440176	28.2110682087365	-232360.228695391	-232332.01762718227	0.0
0.88115354772001	0.123869922509751	0.0603104166193994	0.0862255098317007	0.0322717418868828	1.00005735442484	3.39501490536297e-09	-0.465229148551565	28.2110682087365	-225002.33062129	-224974.11955308125	0.0
0.885862299282807	0.162189642429633	0.0556327361355766	0.0727600318558552	0.0665430904110717	1.05406394400095	2.33839457665007e-09	-0.096304243938603	28.2110682087365	-223613.463472293	-223585.25240408425	0.0
0.598687068692882	0.487007738696355	0.0355273088746191	0.0771445922230657	0.0700024229713871	1.06668115091516	4.37056596279039e-09	-0.672628441281054	28.2110682087365	-222951.43415822	-222923.22309001128	0.0
0.855111996574073	0.492281138831644	0.0383785139677678	0.536427410233113	0.0431704503129957	0.891623771867408	4.91481730450521e-09	-0.267381865035018	28.2110682087365	-214940.510878601	-214912.29981039226	0.0
0.850357180125981	0.23275974352767	0.0354274741592731	0.573497648735235	0.0957779586541854	0.960133151317748	4.69658953407214e-09	-1.06071171251547	28.2110682087365	-214895.167994486	-214866.95692627726	0.0
0.721138619258769	0.353681501820066	0.0699181057731724	0.402803560075429	0.0659048749539489	1.02480726142628	4.61871104452989e-09	-1.28401367518633	28.2110682087365	-213994.077566005	-213965.86649779626	0.0
0.795999169390265	0.203420102478639	0.0502717663784151	0.41639223729457	0.080079161741419	0.91721347267764	4.10249623193471e-09	-1.19460651427781	28.2110682087365	-212302.914716706	-212274.70364849726	0.0
0.734625645228877	0.311061389178214	0.0430991530876009	0.388106314235531	0.030751431843498	1.00397554784905	4.20996535030999e-09	-1.41188412120154	28.2110682087365	-211864.489681742	-211836.27861353327	0.0
0.872782131560313	0.288902963991782	0.0646275394494588	0.515286629222872	0.0303362797563978	1.01246603117884	3.84957586257014e-09	-0.371849919764742	28.2110682087365	-210243.625258623	-210215.41419041427	0.0
0.749294854201721	0.216142961228022	0.0550622812810361	0.366448199618995	0.0257959875942187	0.901550765162872	2.87448708300355e-09	-0.32129664034694	28.2110682087365	-206038.870496558	-206010.65942834926	0.0
0.731976035414912	0.461786294579579	0.0679084036588268	0.538356542549112	0.044825250801232	0.98635889436922	4.88250882884979e-09	-1.80063937056082	28.2110682087365	-202028.998796651	-202000.78772844226	0.0
0.771777741265854	0.47056629182325	0.0403041059664181	0.220796501935354	0.0333392120013651	1.01910137121726	3.98071708480014e-09	-0.365259711901625	28.2110682087365	-195494.413768093	-195466.20269988428	0.0
0.837209102010706	0.428476257518523	0.0449110123216211	0.453472078199096	0.0116265588595035	1.0065356657852	4.15511239345108e-09	-0.724412717094868	28.2110682087365	-194667.319350243	-194639.10828203426	0.0
0.870812912390283	0.466195936849237	0.0352554228963667	0.330575794112452	0.070798347402128	0.957775033365134	4.49385822462137e-09	-0.0894097774963556	28.2110682087365	-192884.817399564	-192856.60633135526	0.0
0.550798006088374	0.325334246021697	0.0381342596006843	0.136290917965438	0.0833675803451113	0.903394832750497	2.94602402976773e-09	-1.69178175025374	28.2110682087365	-189799.916248404	-189771.70518019528	0.0
0.666775412589514	0.312173740920391	0.0325827074485033	0.401656535027548	0.0450255664066382	0.975746936745523	3.82114786490838e-09	-0.956267132986805	28.2110682087365	-186660.691008172	-186632.47993996326	0.0
0.859448214246753	0.409742896970199	0.0402833114073888	0.234961806457643	0.0389265462422673	1.00248488386302	4.12607330486451e-09	-0.225819637306874	28.2110682087365	-186210.497836847	-186182.28676863827	0.0
0.689870940356977	0.372489350465656	0.0509625897251998	0.489611222430097	0.0272801358523134	1.0375638402557	4.04394032998238e-09	-1.82879612365497	28.2110682087365	-185934.657876323	-185906.44680811427	0.0
0.516902586872685	0.104035916972123	0.0517012528294843	0.154618836596101	0.0239114725120144	0.992140562688198	1.1910162653954e-09	-1.12155089621619	28.2110682087365	-181362.372675248	-181334.16160703928	0.0
0.532861723076479	0.389754307923143	0.0695214083180262	0.264203752916515	0.055441090666086	0.923436158361829	3.63703156245133e-09	-0.455536390784508	28.2110682087365	-178040.694556058	-178012.48348784927	0.0
0.67434711443792	0.374298010439201	0.0307801160530334	0.36621343388323	0.0325501543027599	0.969718442362067	3.79641404880303e-09	-0.93921520079545	28.2110682087365	-177827.510402013	-177799.29933380426	0.0
0.73200927739624	0.286781538346631	0.0512784685481838	0.215217483615855	0.0847617759015114	0.907681860713761	3.62248431066325e-09	-0.386023107405288	28.2110682087365	-176887.838230043	-176859.62716183427	0.0
0.526380573225671	0.445157696326527	0.043988278481261	0.565808539147322	0.0645117951344618	0.982843162760672	3.43247824935274e-09	-1.59778639591014	28.2110682087365	-176396.398512124	-176368.18744391526	0.0
0.865637404748019	0.209887720752798	0.0494389436238932	0.535616097919491	0.0724705148733272	0.914686218438448	4.03692085065655e-09	-1.78642141999925	28.2110682087365	-176271.3710779	-176243.16000969126	0.0
0.663228775571873	0.480168850869481	0.032789669943254	0.343505881074068	0.0513078884121742	0.895556004238841	3.69858090145156e-09	-0.479710711690289	28.2110682087365	-172682.198935988	-172653.98786777927	0.0
0.763569177843377	0.231649285223983	0.0513810784441253	0.572741420160829	0.0118250683857089	0.995568001527918	3.1692055300928e-09	-1.70779817247381	28.2110682087365	-172299.005573404	-172270.79450519526	0.0
0.892728943219035	0.129011015460878	0.0509610076333425	0.228985679017508	0.0290271412660035	1.03363568952147	1.95749256678573e-09	-0.23750314476111	28.2110682087365	-165614.717427379	-165586.50635917025	0.0
0.804749686816524	0.392326567706555	0.0479254517152675	0.343638915676697	0.0589443725878617	0.99683105441048	3.78162113920834e-09	-0.239372690759577	28.2110682087365	-164369.950758585	-164341.73969037627	0.0
0.83685001673025	0.393681950718893	0.0629086972453907	0.518556212390467	0.0265225180151986	0.907705367486138	3.82522467240071e-09	-0.370250552822018	28.2110682087365	-163152.147299256	-163123.93623104726	0.0
0.707148591167842	0.254821852885545	0.0469462516693846	0.59931901770228	0.0908191600292535	0.997730394434644	3.54813826684737e-09	-1.82742303038818	28.2110682087365	-162741.78188634	-162713.57081813127	0.0
0.874670627553873	0.305224166842482	0.0507817558765501	0.413627969331792	0.0571408225775214	0.925707167985671	3.79184816591203e-09	-0.380930068835464	28.2110682087365	-161277.54449171	-161249.33342350126	0.0
0.705370574852571	0.331219039210246	0.0594407656268068	0.467752777135821	0.0594175973296153	0.887782640261107	4.27589240742666e-09	-1.01395566781591	28.2110682087365	-157608.193456188	-157579.98238797925	0.0
0.745152291960618	0.389966391573878	0.0494678403889143	0.32266855499788	0.0934793068090215	1.01822072890642	4.47993993963136e-09	-0.806983336022393	28.2110682087365	-157501.105593491	-157472.89452528226	0.0
0.859702257402614	0.487841624983163	0.0613082628304846	0.517830488193155	0.0215357322911301	1.0542806739391	3.47027272588622e-09	-0.0784921077934859	28.2110682087365	-157103.527595961	-157075.31652775226	0.0
0.796329337185269	0.118400974396815	0.0611142592469831	0.436706748543962	0.0423269094752493	0.895660595408665	1.90334586783363e-09	-0.315871166142499	28.2110682087365	-156352.933696689	-156324.72262848026	0.0
0.574009022717421	0.29259425640887	0.0604862602923048	0.337951105485917	0.0819176010646331	0.87691800557044	3.02678954134562e-09	-0.288378323894126	28.2110682087365	-156110.309210147	-156082.09814193827	0.0
0.841155623842399	0.412995031816002	0.0341716159794297	0.587525135173485	0.0467192073187486	1.03393643201498	3.78325604376986e-09	-0.507904926952636	28.2110682087365	-154652.68622924	-154624.47516103127	0.0
0.812350430520014	0.455625997058608	0.0428295289955454	0.552121359001418	0.0712514364052117	1.01002838786823	4.59474064572321e-09	-1.23489752917356	28.2110682087365	-153617.986919041	-153589.77585083226	0.0
0.805868442041334	0.123337697211689	0.0421391649478818	0.498460228970813	0.0200876154589522	1.00939850472636	2.9142820773714e-09	-0.726580227307135	28.2110682087365	-152286.92606963	-152258.71500142125	0.0
0.793923989456594	0.162667252296945	0.0665394272258521	0.404022863162664	0.0107799103986123	0.979741492750999	1.27626916170903e-09	-0.0906378940170887	28.2110682087365	-151398.590923418	-151370.37985520926	0.0
0.846332572685751	0.4627326239968	0.0488115415979401	0.542150473981065	0.0810406851907862	0.885175399705915	4.74998467140773e-09	-0.649995952486214	28.2110682087365	-149488.304491012	-149460.09342280327	0.0
