# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# PROB1A_BEAMS = SNIa BEAMS probability from BBC (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS PROBIA_BEAMS
SN: PS16dnp    150 0.05023 0.05127 36.97160   0.09020  0.03690  0.02998  1.00000
SN: 2007kh      65 0.05032 0.05000 36.64318   0.20080  0.03690  0.22978  1.00000
SN: ASASSN-17eb 150 0.05044 0.04924 36.61012   0.12150  0.03680  0.03919  1.00000
SN: PS15brr    150 0.05049 0.05180 36.61687   0.09470  0.03670  0.03144  1.00000
SN: AT2016cor  150 0.05066 0.04954 36.86833   0.19780  0.03660  0.12120  1.00000
SN: PS16fbb    150 0.05106 0.05250 36.85362   0.09660  0.03630  0.03553  1.00000
SN: 2003ic      63 0.05126 0.05311 36.49625   0.13480  0.03620  0.05630  1.00000
SN: ASASSN-16hc 150 0.05151 0.05093 36.80014   0.07390  0.03600  0.03643  1.00000
SN: AT2016htn  150 0.05222 0.05312 36.98610   0.12840  0.03560  0.03003  1.00000
SN: PS16evk    150 0.05262 0.05447 37.03058   0.10230  0.03530  0.05259  1.00000
SN: PS16n      150 0.05309 0.05273 36.98100   0.07890  0.03500  0.04846  1.00000
SN: 2010dt      66 0.05316 0.05286 36.98602   0.10380  0.03490  0.02615  1.00000
SN: 2006lu       5 0.05346 0.05340 36.98391   0.07760  0.03480  0.04728  1.00000
SN: PS16bby    150 0.05468 0.05342 36.89984   0.09400  0.03400  0.03943  1.00000
SN: PS16ayd    150 0.05469 0.05399 37.04408   0.06680  0.03400  0.02625  1.00000
SN: SN2017cpu  150 0.05502 0.05440 36.83191   0.08340  0.03380  0.02919  1.00000
SN: AT2017oz   150 0.05614 0.05569 36.98925   0.10120  0.03310  0.08495  1.00000
SN: 2006py       5 0.05653 0.05787 36.95470   0.11960  0.03290  0.11926  1.00000
SN: PS16aer    150 0.05693 0.05547 37.13578   0.10050  0.03270  0.08787  1.00000
SN: 2005hj      64 0.05708 0.05739 37.06559   0.11250  0.03260  0.09989  1.00000
SN: 2006ob      64 0.05824 0.05860 37.05250   0.08450  0.03200  0.05877  1.00000
SN: SN2016gmb  150 0.05830 0.05827 37.05316   0.09820  0.03190  0.03596  1.00000
SN: 2001ah      63 0.05886 0.05776 37.15650   0.13060  0.03160  0.07560  1.00000
SN: SN2017cjv  150 0.06092 0.05953 37.20245   0.10610  0.03060  0.03484  1.00000
SN: 2008bz      65 0.06099 0.06015 37.36580   0.07060  0.03060  0.02743  1.00000
SN: SN2016hhv  150 0.06121 0.06194 37.36828   0.14810  0.03050  0.02816  1.00000
SN: 2006oa      64 0.06153 0.06257 37.21781   0.11030  0.03030  0.03513  1.00000
SN: SN2016aqb  150 0.06384 0.06289 37.19792   0.06370  0.02920  0.06814  1.00000
SN: PS16bnz    150 0.06446 0.06270 37.20032   0.09390  0.02900  0.07254  1.00000
SN: 2007ae      64 0.06533 0.06499 37.14453   0.10210  0.02860  0.02625  1.00000
SN: PS15cms    150 0.06627 0.06479 37.36348   0.11050  0.02820  0.02816  1.00000
SN: SN2016ixf  150 0.06711 0.06602 37.52220   0.10230  0.02790  0.02426  1.00000
SN: AT2016aj   150 0.06725 0.06741 37.41167   0.11220  0.02780  0.03956  1.00000
SN: PS15bjg    150 0.06786 0.06889 37.53897   0.09450  0.02760  0.03696  1.00000
SN: CSS160129  150 0.06844 0.06766 37.39216   0.09510  0.02730  0.06236  1.00000
SN: 2006al      64 0.06886 0.06780 37.60687   0.07960  0.02720  0.04581  1.00000
SN: PTSS17-niq 150 0.06897 0.06828 37.39864   0.08430  0.02710  0.03425  1.00000
SN: 2008Y       65 0.07056 0.06965 37.36117   0.10820  0.02650  0.07032  1.00000
SN: PS17yt     150 0.07073 0.06976 37.53825   0.06400  0.02650  0.05839  1.00000
SN: PS16em     150 0.07083 0.06982 37.60541   0.17050  0.02640  0.06255  1.00000
SN: 2006on      64 0.07089 0.07191 37.37223   0.17790  0.02640  0.08328  1.00000
SN: ATLAS16bwu 150 0.07091 0.07180 37.34206   0.14990  0.02640  0.07497  1.00000
SN: PS15bdr    150 0.07116 0.07096 37.55053   0.08830  0.02630  0.05457  1.00000
SN: PS15bwh    150 0.07158 0.07267 37.44955   0.08820  0.02620  0.06924  1.00000
SN: PS15mt     150 0.07193 0.07085 37.71743   0.10940  0.02600  0.03188  1.00000
SN: PS15atx    150 0.07252 0.07188 37.86002   0.13200  0.02580  0.03273  1.00000
SN: 1371046     10 0.07334 0.07411 37.60652   0.18120  0.03070  0.39760  1.00000
SN: 1318737     10 0.07374 0.07451 37.36075   0.18600  0.03050  0.06782  1.00000
SN: Gaia16aki  150 0.07393 0.07363 37.69032   0.08960  0.02540  0.02475  1.00000
SN: PS17bii    150 0.07446 0.07339 37.47350   0.09250  0.02520  0.03352  1.00000
SN: 2005ir      64 0.07520 0.07603 37.78797   0.07300  0.02500  0.08028  1.00000
SN: AT2016gsu  150 0.07575 0.07642 37.66740   0.09690  0.02480  0.06152  1.00000
SN: PS15bif    150 0.07845 0.07937 37.67217   0.10980  0.02400  0.09797  1.00000
SN: Gaia16acv  150 0.07859 0.07772 37.95297   0.08170  0.02390  0.03235  1.00000
SN: PS15bzz    150 0.07931 0.08024 37.67631   0.09220  0.02370  0.03398  1.00000
SN: SN2016glp  150 0.08410 0.08493 38.06851   0.13900  0.02240  0.16011  1.00000
SN: 2006bu      64 0.08478 0.08400 37.93162   0.12110  0.02220  0.06087  1.00000
SN: SN2016grz  150 0.08704 0.08748 38.05907   0.16060  0.02170  0.11739  1.00000
SN: 1864053     10 0.09333 0.09422 38.14207   0.09930  0.02430  0.06540  1.00000
SN: 1344303     10 0.09394 0.09475 38.19061   0.24250  0.02420  0.12797  0.99968
SN: 1317612     10 0.10442 0.10525 38.35469   0.12620  0.02180  0.02851  0.99996
SN: 1259241     10 0.10543 0.10582 38.31730   0.14540  0.02160  0.16870  1.00000
SN: 1330031     10 0.10563 0.10643 38.53600   0.08120  0.02160  0.02336  1.00000
SN: 1336975     10 0.11048 0.11088 38.25319   0.10220  0.02070  0.05174  1.00000
SN: 1289982     10 0.11621 0.11665 41.37634  207.68730  0.01970  0.13749  0.00000
SN: 1879649     10 0.11979 0.12020 39.17952  195.66450  0.01920  0.09748  0.00000
SN: 1833339     10 0.13051 0.13092 38.87669   0.10570  0.01770  0.06962  0.99990
SN: 1334084     10 0.13349 0.13431 38.97349   0.19720  0.01730  0.11564  1.00000
SN: 1815065     10 0.13537 0.13617 38.89376   0.15870  0.01710  0.03846  1.00000
SN: 1317666     10 0.14136 0.14227 39.34676   0.14240  0.01640  0.04451  1.00000
SN: 1296657     10 0.14624 0.14715 39.28420   0.13120  0.01590  0.02373  1.00000
SN: 1283923     10 0.14631 0.14715 39.45704   0.15850  0.01590  0.04393  0.99999
SN: 1316385     10 0.14740 0.14784 39.00102   0.13820  0.01580  0.11418  1.00000
SN: 1530193     10 0.14802 0.14893 39.16959   0.16120  0.01570  0.04181  1.00000
SN: 1293758     10 0.14812 0.14896 39.29642   0.08350  0.01570  0.03604  1.00000
SN: 1871023     10 0.14840 0.14883 39.93334  194.92870  0.01570  0.02016  0.00000
SN: 1277173     10 0.14940 0.15035 39.34156   0.09770  0.01560  0.02020  0.98842
SN: 1247420     10 0.15026 0.15123 39.18283   0.10110  0.01550  0.04814  0.99942
SN: 1306366     10 0.15062 0.15145 39.59315   0.24700  0.01540  0.21509  0.99998
SN: 1317164     10 0.15459 0.15555 39.23196   0.17540  0.01510  0.07110  1.00000
SN: 1299775     10 0.16008 0.16051 39.12045   0.18550  0.01460  0.06052  1.00000
SN: 1578103     10 0.16008 0.16092 39.39124   0.16500  0.01460  0.05555  1.00000
SN: 1250034     10 0.16085 0.16167 39.39908   0.10500  0.01450  0.08845  1.00000
SN: 1479069     10 0.17267 0.17353 39.59143   0.09930  0.01360  0.02523  1.00000
SN: 1303279     10 0.17273 0.17315 39.29267   0.08190  0.01360  0.01553  0.99251
SN: 1770639     10 0.17623 0.17718 40.67495  122.54580  0.01330  0.03865  0.00000
SN: 1303496     10 0.17978 0.18021 39.69384   0.15030  0.01310  0.02512  1.00000
SN: 1339392     10 0.18148 0.18191 39.38512   0.09560  0.01300  0.02534  1.00000
SN: 1250017     10 0.18216 0.18299 39.80944   0.09570  0.01290  0.01296  1.00000
SN: 1257695     10 0.18383 0.18472 39.77397   0.09500  0.01280  0.02543  1.00000
SN: 1296321     10 0.18444 0.18531 40.02749   0.19620  0.01280  0.06443  1.00000
SN: 1336453     10 0.18492 0.18579 39.84829   0.10800  0.01270  0.02770  1.00000
SN: 1273127     10 0.18937 0.19024 39.96971   0.12550  0.01250  0.03062  0.99999
SN: 1295844     10 0.19209 0.19294 40.95909  133.46300  0.01230  0.04348  0.00000
SN: 1261193     10 0.19246 0.19293 39.85989   0.21820  0.01230  0.08029  1.00000
SN: 1879208     10 0.19471 0.19515 39.99689   0.08630  0.01220  0.05095  1.00000
SN: 1253920     10 0.19555 0.19599 39.74020   0.10680  0.01210  0.04882  1.00000
SN: 1298893     10 0.19616 0.19712 39.91727   0.13670  0.01210  0.05744  1.00000
SN: 1334620     10 0.19624 0.19720 39.94746   0.18590  0.01210  0.31436  1.00000
SN: 1922067     10 0.19771 0.19870 39.82415   0.10950  0.01200  0.03091  1.00000
SN: 1324938     10 0.19847 0.19933 40.74154  195.44940  0.01190  0.03718  0.00000
SN: 1281119     10 0.19902 0.19947 40.11613   0.19840  0.01190  0.06667  0.99808
SN: 1335323     10 0.19991 0.20081 39.82389   0.19480  0.01190  0.06472  0.99908
SN: 1782065     10 0.20173 0.20216 39.82768   0.10120  0.01180  0.02757  1.00000
SN: 1550021     10 0.20587 0.20676 39.94222   0.17730  0.01150  0.24542  1.00000
SN: 1327978     10 0.20699 0.20786 39.99271   0.15690  0.01150  0.03107  1.00000
SN: 1283373     10 0.20753 0.20797 40.16590   0.09970  0.01150  0.02195  1.00000
SN: 1315197     10 0.20823 0.20910 39.99214   0.10330  0.01140  0.04358  1.00000
SN: 1324509     10 0.21062 0.21105 39.95452   0.15260  0.01130  0.14658  1.00000
SN: 1791048     10 0.21094 0.21139 39.90034   0.12280  0.01130  0.02566  0.99931
SN: 1257366     10 0.21136 0.21182 40.13470   0.16410  0.01130  0.03974  1.00000
SN: 1309013     10 0.21260 0.21358 40.01609   0.19670  0.01120  0.39101  1.00000
SN: 1887027     10 0.21303 0.21348 40.10402   0.17660  0.01120  0.04798  0.99988
SN: 1292805     10 0.21415 0.21514 41.12869   0.96890  0.01110  0.12585  0.06230
SN: 1297501     10 0.21492 0.21541 39.79366   0.23030  0.01110  0.12560  1.00000
SN: 1249851     10 0.21511 0.21552 40.09734   0.09380  0.01110  0.03847  1.00000
SN: 1371126     10 0.21601 0.21648 40.25321   0.08810  0.01100  0.04728  0.99999
SN: 1304442     10 0.21711 0.21760 40.17616   0.17160  0.01100  0.01628  0.99993
SN: 1282114     10 0.21781 0.21881 40.26063   0.14530  0.01100  0.11607  0.99999
SN: 1313230     10 0.21792 0.21883 40.09850   0.09470  0.01100  0.02612  1.00000
SN: 1295062     10 0.21839 0.21938 40.04422   0.26960  0.01090  0.13113  0.99655
SN: 1290816     10 0.21847 0.21892 40.31180   0.16680  0.01090  0.03915  1.00000
SN: 1919017     10 0.21849 0.21939 40.16973   0.21190  0.01090  0.08493  0.99999
SN: 1304678     10 0.21883 0.21927 40.10103   0.11030  0.01090  0.02996  1.00000
SN: 1342255     10 0.21885 0.21976 40.05695   0.11170  0.01090  0.02642  1.00000
SN: 1250912     10 0.21898 0.21995 40.34650   0.17900  0.01090  0.20129  1.00000
SN: 1682020     10 0.21924 0.22015 39.95570   0.10090  0.01090  0.03911  1.00000
SN: 1302187     10 0.21942 0.21992 39.95195   0.19930  0.01090  0.08625  1.00000
SN: 1259352     10 0.21986 0.22034 40.03968   0.13530  0.01090  0.02198  1.00000
SN: 1867019     10 0.22101 0.22191 40.45594   0.17380  0.01080  0.22501  1.00000
SN: 1331123     10 0.22157 0.22248 40.28564   0.11050  0.01080  0.03215  1.00000
SN: 1929063     10 0.22211 0.22300 40.15115   0.20090  0.01080  0.08214  1.00000
SN: 1259246     10 0.22284 0.22330 40.09223   0.17850  0.01070  0.04554  1.00000
SN: 1249137     10 0.22305 0.22397 40.19629   0.21350  0.01070  0.07187  1.00000
SN: 1641279     10 0.22398 0.22490 40.17708   0.10700  0.01070  0.02676  1.00000
SN: 1878148     10 0.22453 0.22540 40.24605   0.11970  0.01070  0.03442  1.00000
SN: 1292560     10 0.22482 0.22582 40.26132   0.09780  0.01060  0.01637  1.00000
SN: 1248039     10 0.22566 0.22666 40.26841   0.19170  0.01060  0.18302  0.99996
SN: 1315192     10 0.22714 0.22800 40.14436   0.16150  0.01050  0.04203  1.00000
SN: 1249308     10 0.22806 0.22896 40.50135   0.18920  0.01050  0.05458  0.99376
SN: 1315259     10 0.22806 0.22896 40.23587   0.15230  0.01050  0.03316  1.00000
SN: 1879426     10 0.22941 0.22990 40.23544   0.10210  0.01040  0.04441  1.00000
SN: 1288083     10 0.23048 0.23147 40.25378   0.11120  0.01040  0.04456  1.00000
SN: 1291149     10 0.23057 0.23156 42.30704  241.10000  0.01040  0.05227  0.00000
