SNID,PROB_SNNTRAINV19_z_TRAINDES_V19
1335323,0.9635
1287915,0.0073
1342872,0.0819
1780309,0.0000
1332207,0.0000
1306941,0.0000
1610069,0.0000
1297696,0.0000
1325129,0.0000
1927194,0.0000
1367309,0.9711
1282003,0.0000
1250225,0.0000
1312797,0.0000
1366243,0.0000
1861198,0.0000
1434160,0.0000
1870080,0.0000
1345458,0.9999
1326048,0.0001
1315816,0.0000
1773078,0.9999
1433261,0.0000
1900902,0.0000
1260362,0.0000
1247459,0.0003
1266808,0.0001
1286148,0.0000
1527045,0.0000
1252093,0.0000
1338119,0.0000
1292386,0.0000
1551084,0.0000
1486017,0.0000
1528020,0.0000
1247395,0.0000
1293370,0.0000
1332605,0.0000
1322995,0.0000
1641273,0.0000
1283634,0.0001
1549043,0.0000
1935325,0.0000
1964064,0.0000
1582045,0.0000
1313159,0.0000
1392058,0.3487
1773231,1.0000
1251145,0.0000
1876792,0.0000
1304304,0.0000
1327628,0.0000
1313014,0.0000
1306991,0.9998
1337321,1.0000
1260684,0.0211
1306110,1.0000
1275098,0.0000
1341345,0.0001
1286398,0.9964
1290795,0.0000
1249280,0.0000
1638130,0.0000
1315833,0.0000
1911022,0.0000
1331302,0.0000
1305553,0.0000
1954105,0.0660
1325361,0.0000
1279585,0.0216
1305785,0.7879
1952061,0.0000
1797044,1.0000
1330426,1.0000
1290809,0.0000
1298140,0.0000
1662137,0.0000
1292304,0.0270
1248928,0.9104
1338185,0.9763
1327966,0.0000
1284153,0.0000
1261014,0.0000
1254679,0.0000
1275396,0.0000
1291411,0.0000
1311754,0.0000
1320126,0.9922
1273069,0.0000
1259653,0.0000
1740044,0.0000
1921165,0.0000
1335654,0.0000
1575053,0.0000
1887049,0.0000
1247474,0.9997
1277789,0.0000
1776232,0.0000
1839113,0.0000
1559100,0.0000
1298257,0.0000
1273033,0.0000
1847237,0.0000
1897147,0.0000
1847151,0.9539
1912086,0.4551
1448107,0.0000
1252251,0.0000
1253406,0.9892
1368161,0.0000
1282758,0.0000
1437071,0.0003
1778043,0.0000
1329375,0.0000
1282162,0.9934
1332564,0.0000
1277848,0.0000
1284592,0.0000
1250545,0.0000
1266932,0.9772
1285035,0.0000
1251280,0.0000
1935369,0.0000
1349448,0.0000
1247286,0.0000
1248545,0.0000
1876263,0.9999
1261950,0.0000
1935414,0.0584
1339914,0.0000
1370309,0.0000
1252176,0.0000
1263179,0.0000
1311152,0.0000
1282751,0.0000
1512114,0.9999
1314209,0.0000
1910126,0.0000
1291792,0.0000
1475032,0.0000
1298953,0.0131
1298057,0.0000
1254602,0.0000
1273956,0.0000
1502083,0.0000
1905221,0.0000
1317793,0.0000
1335313,0.0000
1948434,0.0005
1898351,0.0000
1657047,0.0000
1336903,0.0000
1296895,0.0000
1278573,0.0000
1905215,0.0000
1343871,0.9999
1381137,0.0000
1315615,0.0000
1259116,0.0230
1881061,0.0003
1922157,0.0000
1898138,0.1781
1367554,0.0000
1299627,0.0000
1668034,0.0000
1301909,0.0000
1297717,0.0000
1366358,0.0000
1295205,0.0000
1920439,0.0000
1324531,0.0000
1297106,0.0000
1283072,0.0000
1335085,0.0011
1886055,0.0000
1501046,0.0000
1252033,0.0000
1923461,0.0000
1905092,0.0000
1945180,0.0000
1631057,0.3378
1291298,0.0000
1449115,0.9997
1294134,0.0000
1304351,0.9845
1329074,0.0000
1302946,0.0000
1900085,0.0000
1265011,1.0000
1302477,0.0000
1254734,0.0004
1247865,0.0000
1655162,0.9991
1282632,0.0000
1299145,0.0000
1249151,0.0000
1278820,0.9807
1290758,0.0000
1890189,0.0000
1265243,0.0000
1927179,0.0000
1657083,0.0000
1255382,0.9999
1292364,0.0000
1861213,0.0058
1881361,0.0000
1366304,0.0000
1946351,0.0000
1905425,0.0000
1291815,0.0389
1645208,1.0000
1281508,0.0000
1292840,0.0064
1299910,0.0000
1291770,0.0157
1861388,0.0000
1295541,0.0000
1249520,0.0000
1246289,0.0000
1258422,1.0000
1259651,0.9993
1246410,0.0000
1337649,1.0000
1377120,0.0000
1291886,0.0000
1536092,0.0000
1251600,1.0000
1258142,0.0000
1288217,0.0000
1487029,0.5880
1611027,0.0000
1248483,0.0000
1708040,0.0000
1290776,0.0000
1901742,0.0000
1298864,0.0000
1390157,0.0000
1291155,1.0000
1257228,0.0000
1336783,0.0000
1256245,0.0000
1281613,0.0000
1290941,0.0000
1947144,0.0000
1326489,0.9996
1330601,0.0000
1257863,0.0159
1973025,0.0036
1324864,0.0000
1273430,0.5213
1336011,0.9967
1249369,0.0000
1958068,0.0000
1785064,0.0011
1279472,0.6580
1292099,0.0000
1290713,0.9953
1265494,0.0000
1675120,0.0000
1334397,0.0000
1317245,0.0000
1287064,0.9911
1274293,0.0000
1910142,0.0000
1321755,0.0000
1314135,0.0000
1924192,0.0000
1320681,0.0000
1575061,0.0000
1249012,0.0000
1246322,0.0000
1297579,0.0000
1304249,0.0000
1262778,0.0173
1312578,0.0000
1546021,0.9796
1273500,0.0000
1248091,0.0000
1898280,0.0000
1337405,0.0000
1883304,0.0000
1703025,0.9985
1305829,0.0000
1308367,0.0000
1248324,0.9999
1675096,0.0000
1263204,0.0607
1333887,0.3171
1280938,0.0164
1639047,0.0000
1289447,0.0000
1578032,0.0000
1933301,0.0000
1334302,0.9997
1262794,0.0000
1661108,0.0000
1933125,0.0000
1905113,0.0000
1926233,0.0000
1251200,0.0000
1294948,0.0004
1273006,0.0000
1252548,0.0000
1954107,0.0000
1296560,0.0000
1289714,0.9998
1266602,0.0000
1793032,0.0000
1315592,0.0000
1795053,0.0000
1776097,0.0000
1260134,0.9808
1247950,0.0000
1253181,0.8225
1329341,0.2548
1252630,0.0000
1434066,0.0000
1780354,0.6044
1273751,0.0171
1337297,0.0000
1719022,0.0248
1295325,0.0000
1339137,0.0000
1920172,0.0000
1939139,0.0000
1342580,0.9970
1246892,0.0000
1795018,0.0000
1848273,0.0015
1335836,0.0000
1956092,0.0000
1277952,0.0000
1849300,0.0000
1289995,0.0000
1331014,0.0000
1327408,0.6087
1956287,0.0000
1300495,0.0233
1251036,0.0000
1273630,0.0000
1263775,0.0000
1249885,0.0000
1339738,0.0006
1432019,0.0000
1291891,0.0000
1777084,0.1725
1274307,0.0000
1523028,0.0283
1313978,0.0000
1924068,0.0000
1564084,0.0000
1756051,0.0000
1329741,0.0000
1861186,0.0000
1948218,0.9920
1924022,0.0000
1249462,0.0000
1246338,0.0000
1341823,0.9263
1841024,0.0000
1366406,1.0000
1313999,0.0000
1673065,0.0002
1259488,0.0000
1298034,0.0000
1946125,0.0000
1253932,0.0000
1277933,0.0000
1334989,0.0000
1899110,0.0000
1314333,0.0000
1756065,0.0000
1295601,0.0000
1248561,0.0000
1256419,0.0000
1701088,0.9994
1896240,0.0000
1488041,0.0000
1260433,0.0000
1904102,0.0000
1251683,0.0000
1721068,0.9993
1265422,1.0000
1249326,0.0000
1417024,0.0000
1864091,0.0000
1286197,0.0000
1292040,0.0000
1904053,0.0000
1880459,0.0000
1325199,0.0000
1479110,0.0000
1370268,0.9981
1386047,1.0000
1342494,0.0856
1280383,0.0000
1342767,0.0000
1292000,0.0000
1327230,0.9876
1394150,0.0000
1346422,0.0000
1250443,0.0000
1290643,0.0000
1303663,0.8840
1339460,0.0000
1435040,0.0000
1290189,0.0000
1888049,0.2649
1664053,0.0197
1485080,0.0000
1339149,1.0000
1250329,0.0000
1295627,0.9968
1367331,0.9565
1530098,0.0000
1338430,1.0000
1267228,0.0000
1958112,0.0000
1277873,0.0000
1279407,0.0000
1250105,0.0000
1920393,0.0000
1879303,0.0000
1333569,0.0000
1291422,0.0000
1291939,0.0000
1251180,0.0000
1255130,0.9999
1293929,0.0000
1892247,0.9992
1336426,0.0000
1246998,0.0000
1253169,0.9912
1334889,0.0000
1291874,0.8457
1279491,0.0096
1264559,0.9600
1435142,0.0008
1293174,0.0000
1901107,0.0000
1255142,0.9778
1448124,0.0000
1850153,0.0005
1247936,0.0000
1395178,0.0000
